Nom cours,Discipline Ia,Discipline IIa,Description cours,Video,,,,,
Barre au sol,Barre au sol,Danse Fitness / Fitness,"Autrefois l'apanage des seules danseuses classiques, la barre au sol est désormais une pratique accessible à toutes, de plus en plus répandue. Aisance et souplesse sont les maîtres mots de cet entraînement que l'on peut pratiquer comme une gym douce.

La barre au sol (classique ou contemporaine, qui peut ne parfois ne pas comporter de barre !) concerne une série d'exercices effectués au sol. Ces exercices sont destinés à améliorer les qualités physiques et techniques du ""danseur"" : 
- positionnement et posture (ex : en-dehors/en-dedans, posture du dos et de la nuque, parrallélisme des genoux...)
- souplesse
- sensations kinesthésiques (ex. : apprendre à détendre les articulations pour améliorer sa souplesse, à dissocier les muscles les uns des autres en utilisant chaque groupe musculaire à bon escient))
- utilisation de la respiration",,,,,,
Barre au sol contemporaine,Barre au sol,Danse Fitness / Fitness,"Autrefois l'apanage des seules danseuses classiques, la barre au sol est désormais une pratique accessible à toutes, de plus en plus répandue. Aisance et souplesse sont les maîtres mots de cet entraînement que l'on peut pratiquer comme une gym douce.

La barre au sol (classique ou contemporaine, qui peut ne parfois ne pas comporter de barre !) concerne une série d'exercices effectués au sol. Ces exercices sont destinés à améliorer les qualités physiques et techniques du ""danseur"" : 
- positionnement et posture (ex : en-dehors/en-dedans, posture du dos et de la nuque, parrallélisme des genoux...)
- souplesse
- sensations kinesthésiques (ex. : apprendre à détendre les articulations pour améliorer sa souplesse, à dissocier les muscles les uns des autres en utilisant chaque groupe musculaire à bon escient))
- utilisation de la respiration",,,,,,
Danse classique,Classique,,"La danse classique, également connue sous le nom de ballet, est un genre de danse qui rassemble plusieurs techniques et mouvements spécifiques et gracieux. En outre, le ballet est le nom qui permet de faire allusion à la pièce musicale composée pour être interprétée par le biais de la danse. Cette danse est apparue pendant la Renaissance, à l’époque où les mariages et les évènements aristocratiques étaient célébrés avec des danseurs de la cour, lesquels montraient leurs adresses. Au fil du temps, les mouvements et les pas de danse se sont améliorés voire perfectionnés.

La danse classique exige :
- concentration du danseur
- précision
- et coordination.

L’entrainement est indispensable dans la mesure où la plupart des formes du ballet requièrent beaucoup de souplesse et d’élasticité. La tenue a un rôle fondamental dans la danse classique. Les danseurs portent des vêtements qui adhèrent bien au corps pour que leurs mouvements puissent être appréciés plus facilement. La femme porte un tutu (une jupette) et l’homme porte un justaucorps. Aux pieds, ils portent des chaussons techniques dont les embouts sont en tissu, en silicone ou en mousse pour réduire la douleur lorsqu’ils dansent sur les pointes.",,,,,,
Danse contemporaine,Contemporaine / Moderne,,"La danse contemporaine est l'art de raconter une histoire avec ton corps. Elle peut emprunter tous les styles, car la danse est plurielle. Elle communique un message, une émotion… : c'est un rapport direct entre le danseur et ses spectateurs. Il est plutôt difficile de trouver une définition précise de ce qu’est la danse contemporaine !

Un petit éclaircissement s’impose toutefois sur la terminologie : en France, le terme « danse contemporaine » est utilisé pour désigner une esthétique propre à notre époque, alors que le terme « danse moderne » renvoie aux courants qui ont précédé la danse contemporaine (et qui étaient peu représentatifs en France) ; dans les autres pays, le terme « danse moderne » (modern dance) est utilisé uniquement.",,,,,,
Cunningham,Contemporaine / Moderne,,"La ""technique Cunningham"", à la fois complexe, rigoureuse et épurée, possède une technique qui s’approche des mathématiques dans son exploration abstraite de tous les possibles du corps humain. Bras et jambes brassant l’air dans des directions contradictoires, mouvements de balancier du buste, la colonne vertébrale garde une verticalité classique malgré l’extrême liberté des mouvements.
Par ailleurs, Merce Cunningham est l’un des premiers chorégraphes à incorporer des mouvements de la vie courante à ses créations, s’inspirant au quotidien des étirements de ses chats, du transfert de poids opéré par un passant enjambant un trottoir ou même des limites de son propre corps vieillissant, contraint par l’arthrose : « Il faut tout observer, continuellement. Moi, je trouve du mouvement partout », confie-t-il.",,,,,,
Dancehall,Hip Hop / Dancehall,,"Origines : le Dancehall (reggae) est originellement jamaïcain, découlant directement du reggae et qui tire son nom du Dancehall (la salle de danse ou salle de bal, en français) qui désigne le lieu où l'on danse à l'intérieur comme à l'extérieur. Il est né en Jamaïque au tout début des années 1980 (où il se confond avec le rub-a-dub jusqu'à la disparition de celui-ci en 1985) et s'est rapidement propagé dans les Antilles avant d'atteindre le reste des pays francophones.

Style musical : le style musical dancehall n'est pas précisément définissable. A l'origine, il s'agit de toute musique jouée dans un espace clos. Ce terme désigne plutôt une connotation de groupe, d'ambiance, de rassemblement. Ainsi, le dancehall peut aussi bien sonner digital ou hardcore que roots. Dans les années 1990, il a parfois été associé à un style qui s'est développé sur la base de la musique indienne (voir le riddim Bam Bam créé par Sly & Robbie) et du Hip-Hop.
La grande révolution du dancehall est l'arrivée des machines numériques sur l'île vers 1984/85. De nombreux compositeurs se sont mis à la composition audio-numérique (voir le riddim Sleng Teng de King Jammy).",,,,,,
Hip Hop,Hip Hop / Dancehall,,"Issu des ghettos noirs américains, le Hip Hop repose sur un mélange de plusieurs techniques de danses (break, smurf, popping), la rotation et l’ondulation du corps. C'est est un mouvement culturel et musical américain apparu dans les années 1970. Ce mouvement se décline sous plusieurs formes : musiques, danses, look... Ce mouvement s'est propagé et a évolué. On en retrouve dans le rap, ou encore le slam. Il est très apprécié des jeunes qui retrouvent dans ces diverses expressions une identité commune.",,,,,,
Housedance,Hip Hop / Dancehall,,"La House Dance est née en 1982, par le biais de danseurs hip-hop new-yorkais qui fréquentaient une boîte de nuit underground et mythique appelée ""The Garage"". Il avaient différents styles mais celui qui a le plus influencé était le ""Loftim"". C'est un style de danse avec des mouvements coulants et très gracieux. Il est aussi constitué de puissantes phases aériennes, de plongeons et de nombreuses autres combinaisons.

Lorsque vous observez un danseur de House, ses mouvements vous font penser à de nombreuses danses, il vous est possible à la fois de les assimiler aux danses de ballets, au Moderne, aux Claquettes, au LindyHop, au Jazz, ou au Funk. Contrairement aux autres formes de danse, la House Dance a su mélanger les formes de danses underground de nombreuses cultures, comme les danses de culture afro-brésilienne, afro-dominicaine ou africaine. Les pionniers de la House Dance new-yorkaise ont été jusqu'à faire des recherches pour retrouver des danses ""afro""qui étaient, pour beaucoup, passées dans l'oubli puis ils y ont mélangé leurs propres idées avec du Lofting, du Hoofin, et du Lindyhop, et pour certains de la Capoeira.",,,,,,
Jazz,Jazz / Modern' Jazz,,,,,,,,
Afro Tonic,Hip Hop / Dancehall,Danse Fitness / Fitness,"Un nouveau style, un nouveau courant de fitness vous est désorrmais proposé. L'Afro Tonic vous fera bouger et vibrer sous fond de rythme africain, caribéen, R&B, house, disco, funk, soul.... Un cocktail de danses et de musiques ""Afro"" pour le meilleur de votre forme !
Energique, dynamique et tonifiant, ce nouveau courant ne vous laissera pas indifférent. A essayer au plus vite !",,,,,,
Boxe Tonic,Hip Hop / Dancehall,Danse Fitness / Fitness,"Retrouvez la forme et votre combativité ! Le cours de Boxe Tonic est un moyen efficace pour brûler les calories et sculpter 
votre corps. Apprenez de nombreux enchaînements de boxe en musique. Toute les techniques de combat pieds/poings sans risque, sans coups et en toute sécurité.",,,,,,
Zumba,Zumba,Danse Fitness / Fitness,"Êtes-vous prêt à faire la fête pour être en forme ? La Zumba est un cours ludique de danses latines et chorégraphies simples pour tonifier et remodeler son corps sur des rythmes caraïbéens. C'est une fête de fitness et de danse latine exaltante, efficace, facile à suivre, pour brûler des calories et emmener des millions de personnes vers la joie et la santé.

La Zumba est le seul programme de danse-fitness d’inspiration latine qui allie une musique internationale torride, composée par des producteurs récompensés par des Grammy, et des pas de danse contagieux pour créer une ""fitness-party"" dont vous ne pourrez plus vous passer. Depuis ses débuts en 2001, le programme Zumba s’est développé pour devenir le programme de danse et de fitness le plus important et le plus populaire du monde. Plus de 14 millions de personnes de toutes tailles, de tous âges et de toutes corpulences suivent des cours de Zumba chaque semaine, dans plus de 140 000 endroits répartis dans quelque 150 pays.",,,,,,
Zumba Party,Zumba,Danse Fitness / Fitness,"Êtes-vous prêt à faire la fête pour être en forme ? La Zumba est un cours ludique de danses latines et chorégraphies simples pour tonifier et remodeler son corps sur des rythmes caraïbéens. C'est une fête de fitness et de danse latine exaltante, efficace, facile à suivre, pour brûler des calories et emmener des millions de personnes vers la joie et la santé.

La Zumba est le seul programme de danse-fitness d’inspiration latine qui allie une musique internationale torride, composée par des producteurs récompensés par des Grammy, et des pas de danse contagieux pour créer une ""fitness-party"" dont vous ne pourrez plus vous passer. Depuis ses débuts en 2001, le programme Zumba s’est développé pour devenir le programme de danse et de fitness le plus important et le plus populaire du monde. Plus de 14 millions de personnes de toutes tailles, de tous âges et de toutes corpulences suivent des cours de Zumba chaque semaine, dans plus de 140 000 endroits répartis dans quelque 150 pays.",,,,,,
Méthode Feldenkrais,Relaxation / Gym douce,,"Il s’agit d’une des formes d’anti-gymnastique destinée à aider à prendre conscience de son corps de la manière la plus sensible possible, à le libérer de ses carcans, à doser ses efforts avec plus de justesse, à mieux connaître ses limites et ses besoins. La méthode Feldenkrais a été mise au point par Moshe Feldenkrais dans les années 30, pour aider à retrouver le geste juste, c’est-à-dire celui qui n’engendre ni tension ni douleur dans sa réalisation. Reposant sur des principes d’arts martiaux, sa méthode relève d’un même objectif : un effort minimal pour un effet maximal. Il s’agit apprendre à ne plus faire des gestes de manière automatique, mais à les exécuter en toute conscience. 

Ainsi, il est possible de prévenir une usure prématurée du système osseux et, surtout, on retrouve force et vitalité. Cette méthode convient autant aux enfants qu’aux adultes et aux personnes âgées.",,,,,,
Pilates,Relaxation / Gym douce,Pilates,"La méthode Pilates est basée sur des exercices avec ou sans matériel de fitness, dont le but est d’améliorer la maîtrise du corps, donc de soi. L’amélioration de la souplesse, du bien être physique et de la force musculaire n’est qu’une conséquence de cette méthode. Le principe fondamental de la méthode Pilates repose sur le contrôle des muscles par l’esprit, plus particulièrement ceux du tronc, garants du maintien de la colonne vertébrale, et donc de la posture générale. 

La gestion de la respiration joue un rôle crucial, et des exercices de fitness visant à travailler l’équilibre sont utilisés. L’objectif est de mettre en symbiose le corps et l’esprit, de manière à avoir un contrôle de soi aussi parfait que possible, tant au niveau physique que mental.

Cette discipline est accessible à tous : que l’on soit enfant ou personne âgée, sportif aguerri ou au contraire sédentaire un peu trop rouillé, on peut toujours tirer bénéfice de cette pratique.",,,,,,
Assouplissement,Relaxation / Gym douce,,"Le cours d’assouplissement ou stretching consiste à effectuer une gamme d’étirements appliquée à l’ensemble des groupes musculaires principaux qui composent notre corps.
Le but de cette séance est d’augmenter le gain d’amplitude de vos muscles.
 
En règle générale, le cours :
- débute par une série d’exercices simples de mobilisation de l’ensemble de vos articulations afin de produire l’échauffement de vos tendons et ligaments qui prolongent et soutiennent les muscles à leur point d’insertion ;
- Ensuite, une première série d’étirements passifs de l’ensemble des groupes musculaires est proposée afin de vous préparer à des exercices dont l’intensité d’assouplissement est plus importante ;
- Lorsque l’échauffement général est terminé, vous exécutez un enchaînement d’étirements actifs  et passifs sur des muscles ciblés afin d’améliorer leur amplitude ;
- Enfin, vous terminez la séance par quelques instants de repos.",,,,,,
Barre au sol classique,Barre au sol,Danse Fitness / Fitness,"Autrefois l'apanage des seules danseuses classiques, la barre au sol est désormais une pratique accessible à toutes, de plus en plus répandue. Aisance et souplesse sont les maîtres mots de cet entraînement que l'on peut pratiquer comme une gym douce.

La barre au sol (classique ou contemporaine, qui peut ne parfois ne pas comporter de barre !) concerne une série d'exercices effectués au sol. Ces exercices sont destinés à améliorer les qualités physiques et techniques du ""danseur"" : 
- positionnement et posture (ex : en-dehors/en-dedans, posture du dos et de la nuque, parrallélisme des genoux...)
- souplesse
- sensations kinesthésiques (ex. : apprendre à détendre les articulations pour améliorer sa souplesse, à dissocier les muscles les uns des autres en utilisant chaque groupe musculaire à bon escient))
- utilisation de la respiration",,,,,,
Barre au sol dynamique,Barre au sol,Danse Fitness / Fitness,"Autrefois l'apanage des seules danseuses classiques, la barre au sol est désormais une pratique accessible à toutes, de plus en plus répandue. Aisance et souplesse sont les maîtres mots de cet entraînement que l'on peut pratiquer comme une gym douce.

La barre au sol (classique ou contemporaine, qui peut ne parfois ne pas comporter de barre !) concerne une série d'exercices effectués au sol. Ces exercices sont destinés à améliorer les qualités physiques et techniques du ""danseur"" : 
- positionnement et posture (ex : en-dehors/en-dedans, posture du dos et de la nuque, parrallélisme des genoux...)
- souplesse
- sensations kinesthésiques (ex. : apprendre à détendre les articulations pour améliorer sa souplesse, à dissocier les muscles les uns des autres en utilisant chaque groupe musculaire à bon escient))
- utilisation de la respiration",,,,,,
Barre au sol Jazz,Jazz / Modern' Jazz,Barre au sol,"C'est quoi ? Une nouvelle méthode ludique de barre au sol, inspirée des cours de danse classique, pour épouser la silhouette gracile des danseuses étoiles.

C'est comment ? Gradué. Après une série d’exercices debout destinés à gagner en amplitude et à renforcer le gainage abdominal et dorsal, on passe au sol. Élongation, stretching : en utilisant l’élan comme moteur, on s’assouplit tout en douceur et en tonicité. Enfin, on travaille la rapidité et la coordination en combinant tous les mouvements. On finit par un retour au calme et un travail respiratoire. Le tout sur une musique adaptée.

C'est pour moi ? Oui, que l’on soit petit rat ou débutant, chacune pourra y trouver son compte, à son niveau.

C'est bon pour quoi ? Chaque phase musculaire, ligamentaire et articulaire a son intérêt. On se tonifie, on s’allonge, on se dénoue, on s’affine, on se sangle et surtout, on reprend possession de son corps.",,,,,,
Break,Street / Break,,"Le break (ou breakdance, b-boying,B-boy) est un style de danse développé à New York dans les années 1970, caractérisé par son aspect acrobatique et ses figures au sol. Un danseur de break dance est appelé breaker, breakdancer, B-Boy ou encore B-Girl s'il s'agit d'une femme. La breakdance est également perçu comme une manière de s'exprimer.

C'est une danse qui se pratique en solo ou en équipe, en général au milieu d'un cercle (personnes se disposant en cercle, le danseur dansant au milieu du cercle). Les danseurs dansent chacun à leur tour : ils font des passages.",,,,,,
Cabaret Talons,Cabaret / Pole Dance,,"Dans l’air du temps et ultra sexy, le ""cabaret"" / ""cabaret talons"" est un cours unique. Peu de cours sont proposés à Paris. Inspiré par les plus grands cabarets (Crazy Horse) et les plus grandes comédies musicales (Chicago), le style est très théâtral et la mise en scène primordiale. La posture du corps est très importante, c’est pour cela qu’ici on vient en talons (même quand on est un garçon) ! L’échauffement (abdos/fessiers-stretching) prépare à la mise en avant du corps. Puis on commence dans une ambiance glamour.",,,,,,
Chant,Chant,,,,,,,,
Claquettes,Claquettes,,,,,,,,
Danse africaine,Danses du monde,,Un plongeon dans l’Afrique de l’Ouest et ses danses traditionnelles.,,,,,,
Danse d'Egypte,Danses du monde,,,,,,,,
Danse Espagnole,Danses du monde,,,,,,,,
Danse Orientale,Danses du monde,,"Travail technique et chorégraphique sur des musiques orientales actuelles et anciennes. Pour danser avec énergie, grâce et précision.",,,,,,
Flamenco,Danses du monde,Danses de couple,"D’origine gitane et andalouse, la gestuelle ancestrale du flamenco est codifiée par le claquement des pieds et des mains. La danse exalte l’expression des sentiments du couple souvent liée au thème de l’amour.",,,,,,
Hip Hop New Style,Hip Hop / Dancehall,,,,,,,,
House,Hip Hop / Dancehall,,,,,,,,
Jazz Rock,Jazz / Modern' Jazz,Rock,,,,,,,
Lyrical Jazz,Jazz / Modern' Jazz,,,,,,,,
Mickaël Jackson,Hip Hop / Dancehall,,,,,,,,
Modern' Jazz,Jazz / Modern' Jazz,,"Moyen d’expression très riche, le modern’ jazz enchaîne des pas chorégraphiés en maîtrisant harmonieusement les rythmes, les techniques et les musiques de styles divers.",,,,,,
Moderne,Contemporaine / Moderne,,,,,,,,
NIA (Now I Am),Contemporaine / Moderne,Danse relaxation,"Vitalité, plaisir, relaxation ! Née aux Etats-Unis, il y a 30 ans, Nia, Now I Am, est un art du mouvement basé sur l'écoute de ses sensations. Les mouvements s'inspirent des arts martiaux, de la danse et de la prise de conscience du corps, mêlant chorégraphies et expression libre. Il se pratique pieds nus dans une ambiance ludique, sur des musiques entraînantes et apaisantes, dans un esprit de non jugement, de non compétitition. Bouger et danser à son rythme ! Le Nia permet de se libérer des tensions, du stress, de favoriser le lâcher-prise, de se revitaliser, de renforcer la joie de vivre. Le bien-être pour tous, débutants bienvenus !",http://www.youtube.com/watch?feature=player_embedded&v=77GGq0vuuxo#!,,,,,
Ragga dancehall,Hip Hop / Dancehall,,Le ragga dancehall appelé encore raggamuffin est la variante la plus populaire du dancehall en Jamaïque actuellement. Il s'agit de deejays posant sur des rythmes hardcore (c'est-à-dire plus violents que le reggae) et non plus roots.,,,,,,
Ragga jam salsa,Hip Hop / Dancehall,Danses du monde,,http://www.youtube.com/watch?v=ikzeJgDfgEg,,,,,
Salsa,Danses du monde,Danses de couple,"Danse populaire de couple. Sensualité, énergie, rythme forment autant de pas à la rencontre de l’autre.. .en dansant.",,,,,,
Salsa Colombienne,Danses du monde,Danses de couple,,,,,,,
Street Jazz,Jazz / Modern' Jazz,Street / Break,"Venue tout droit des Etats-Unis, la danse Street jazz est à mi chemin entre la danse Jazz et la street danse. Elle conserve les techniques de la danse jazz et permet, en musique, une meilleure maîtrise du corps.",,,,,,
Street Jazz Talons,Jazz / Modern' Jazz,Street / Break,,,,,,,
Tango Argentin,Danses du monde,Danses de couple,,,,,,,
Technique Horton,Contemporaine / Moderne,Danse relaxation,,http://www.youtube.com/watch?v=bjrwM3v9TIE,,,,,
Voguing,Jazz / Modern' Jazz,Hip Hop / Dancehall,,http://www.youtube.com/watch?v=BcpEro--Mq0,,,,,
Yoga,Yoga,,,,,,,,
Yoga Vinyasa,Yoga,,,,,,,,
Funky jazz,Jazz / Modern' Jazz,Hip Hop / Dancehall,,,,,,,
Comédie musicale,Comédie / Humour,Comédie musicale / Chorégraphie,"Chant, danse et théâtre : les élèves participent à la mise en scène de numéros issus des plus grands spectacles musicaux français et internationaux. Travail technique pluridisciplinaire et mise en pratique immédiate sont au programme.",,,,,,
Comédie,Comédie / Humour,,,,,,,,
Chorale,Chorale,,,,,,,,
Vocal training,Entraînement vocal,,"Entrainement vocal collectif basé sur l’écoute. Approches physiologiques de la voix, respiration, souffle, posture, résonateurs etc.",,,,,,
Formation musicale,Solfège,Technique vocale / musicale,"Solfège, harmonie, rythme appliqués aux besoins spécifiques du chanteur",,,,,,
Contexte professionnel,Culture artistique,Technique vocale / musicale,Etude du secteur socioprofessionnelle de la chanson et des droits de l’artiste,,,,,,
Culture musicale,Culture artistique,Culture musicale,"Etude des différents styles musicaux et courants des musiques actuelles, histoire de la chanson",,,,,,
Polyrythmie,Entraînement vocal,Technique vocale / musicale,Travail polyrythmique pour chanteur,,,,,,
Polyphonie,Chant,,Chant polyphonique,,,,,,
Ministages d'improvisation,Impro,,Approche de l’improvisation chantée ,,,,,,
Chanter en scène,Voix & scène,,Atelier d'interprétation scénique avec un musicien,,,,,,
Expression vocale,Chant,Technique vocale / musicale,Atelier de technique vocale appliquée à la chanson,,,,,,
Parole en chanson !,Textes & écriture,,Atelier d'écriture de textes de chansons,,,,,,
Faites du bruit,Chant,,"Pour les 13/17 ans, chanter, explorer sa voix, jouer en groupe, créer, enregistrer..",,,,,,
Mini-tour de chant,Chant,,Travail scénique et vocal pour l'élaboration d'un mini tour de chant,,,,,,
Expression vocale & scène,Voix & scène,,Atelier de technique vocale et d'interprétation,,,,,,
Voix et scène,Voix & scène,,Atelier de technique vocale et d'interprétation,,,,,,
Voix et scène pro,Voix & scène,,Expression scénique avec un musicien et travail vocal,,,,,,
"Chanter : le corps, la voix, etc.",Voix & scène,Technique vocale / musicale,"Mieux connaître son instrument, le corps, pour trouver sa voix(e) dans l'interprétation !",,,,,,
Projet de scène,Voix & scène,Technique vocale / musicale,Création et représentation d'un tour de chant,,,,,,
"Une voie, la voie épanouie",Voix & scène,Technique vocale / musicale,Expression vocale en lien avec le travail corporel et l'interprétation,,,,,,
Voix musiques actuelles,Chant,Technique vocale / musicale,Expression vocale autour de différents styles des musiques actuelles,,,,,,
Perfectionnement voix,Chant,Technique vocale / musicale,"Perfectionner sa technique et sa pratique vocale en groupe très restreint : relaxation, souffle, jeux vocaux… multiplier les possibilités de votre voix.",,,,,,
Perfectionnement scène,Voix & scène,Technique vocale / musicale,Perfectionner sa technique et sa pratique scénique en groupe très restreint,,,,,,
Chanter et s'accompagner au piano,Chant & instrument,Chant & instrument,Se constituer un répertoire varié et l'interpréter en s'accompagnant au piano,,,,,,
Chanter et s'accompagner à la guitare,Chant & instrument,Chant & instrument,Se constituer un répertoire varié et l'interpréter en s'accompagnant à la guitare,,,,,,
Chanter et s'accompagner à l'accordéon,Chant & instrument,Chant & instrument,Se constituer un répertoire varié et l'interpréter en s'accompagnant à l'accordéon,,,,,,
Coaching individuel (chant),Chant,Technique vocale / musicale,"Un coaching individuel sur mesure, dans la discipline de son choix, selon son besoin de formation",,,,,,
Chanter avec un orchestre,Chant & instrument,Chant & instrument,,,,,,,
Music n' Groove,Chant,Chant & instrument,,,,,,,
Dessin-peinture,Dessin,Peinture,"Découvrez les différentes techniques de dessin : crayon, fusain, pastel, aquarelle, perspective, encre, composition, proportion, construction, exercices d’observation, connaissance et utilisation des couleurs, nature morte.",,,,,,
Bande dessinée,Dessin,,,,,,,,
Eveil théâtral,Théâtre éveil,Spectacle petite enfance,,,,,,,
Eveil musical,Musique petite enfance,Musique petite enfance,,,,,,,
Accordéon diatonique (portugais),Instruments,2 cours en 1,"Différents cours d'instruments peuvent vous être proposés en différentes langues, les professeurs enseignant dans leur langue maternelle. Ces cours peuvent s'adresser soit à des personnes souhaitant apprendre la musique dans leur langue ou à tous ceux désirant améliorer leur apprentissage de la langue.",,,,,,
Batterie (anglais),Instruments,2 cours en 1,"Différents cours d'instruments peuvent vous être proposés en différentes langues, les professeurs enseignant dans leur langue maternelle. Ces cours peuvent s'adresser soit à des personnes souhaitant apprendre la musique dans leur langue ou à tous ceux désirant améliorer leur apprentissage de la langue.",,,,,,
"Clarinette (chinois, espagnol)",Instruments,2 cours en 1,"Différents cours d'instruments peuvent vous être proposés en différentes langues, les professeurs enseignant dans leur langue maternelle. Ces cours peuvent s'adresser soit à des personnes souhaitant apprendre la musique dans leur langue ou à tous ceux désirant améliorer leur apprentissage de la langue.",,,,,,
Flûte à bec (espagnol),Instruments,2 cours en 1,"Différents cours d'instruments peuvent vous être proposés en différentes langues, les professeurs enseignant dans leur langue maternelle. Ces cours peuvent s'adresser soit à des personnes souhaitant apprendre la musique dans leur langue ou à tous ceux désirant améliorer leur apprentissage de la langue.",,,,,,
"Flûte traversière (italien, russe, coréen)",Instruments,2 cours en 1,"Différents cours d'instruments peuvent vous être proposés en différentes langues, les professeurs enseignant dans leur langue maternelle. Ces cours peuvent s'adresser soit à des personnes souhaitant apprendre la musique dans leur langue ou à tous ceux désirant améliorer leur apprentissage de la langue.",,,,,,
"Guitare (anglais, portugais, russe, bulgare, espagnol, serbe)",Instruments,2 cours en 1,"Différents cours d'instruments peuvent vous être proposés en différentes langues, les professeurs enseignant dans leur langue maternelle. Ces cours peuvent s'adresser soit à des personnes souhaitant apprendre la musique dans leur langue ou à tous ceux désirant améliorer leur apprentissage de la langue.",,,,,,
"Harpe (anglais, espagnol, serbe)",Instruments,2 cours en 1,"Différents cours d'instruments peuvent vous être proposés en différentes langues, les professeurs enseignant dans leur langue maternelle. Ces cours peuvent s'adresser soit à des personnes souhaitant apprendre la musique dans leur langue ou à tous ceux désirant améliorer leur apprentissage de la langue.",,,,,,
Luth (russe),Instruments,2 cours en 1,"Différents cours d'instruments peuvent vous être proposés en différentes langues, les professeurs enseignant dans leur langue maternelle. Ces cours peuvent s'adresser soit à des personnes souhaitant apprendre la musique dans leur langue ou à tous ceux désirant améliorer leur apprentissage de la langue.",,,,,,
"Piano (espagnol, russe)",Instruments,2 cours en 1,"Différents cours d'instruments peuvent vous être proposés en différentes langues, les professeurs enseignant dans leur langue maternelle. Ces cours peuvent s'adresser soit à des personnes souhaitant apprendre la musique dans leur langue ou à tous ceux désirant améliorer leur apprentissage de la langue.",,,,,,
Saxophone (portugais),Instruments,2 cours en 1,"Différents cours d'instruments peuvent vous être proposés en différentes langues, les professeurs enseignant dans leur langue maternelle. Ces cours peuvent s'adresser soit à des personnes souhaitant apprendre la musique dans leur langue ou à tous ceux désirant améliorer leur apprentissage de la langue.",,,,,,
"Violon (italien, espagnol, serbe)",Instruments,2 cours en 1,"Différents cours d'instruments peuvent vous être proposés en différentes langues, les professeurs enseignant dans leur langue maternelle. Ces cours peuvent s'adresser soit à des personnes souhaitant apprendre la musique dans leur langue ou à tous ceux désirant améliorer leur apprentissage de la langue.",,,,,,
"Violoncelle (anglais, espagnol)",Instruments,2 cours en 1,"Différents cours d'instruments peuvent vous être proposés en différentes langues, les professeurs enseignant dans leur langue maternelle. Ces cours peuvent s'adresser soit à des personnes souhaitant apprendre la musique dans leur langue ou à tous ceux désirant améliorer leur apprentissage de la langue.",,,,,,
Tout instrument,Instruments,,"Musique classique (chant, piano, guitare, harpe, flûte traversière, clarinette, hautbois, saxophone, trombone, trompette, accordéon chromatique, violon, alto, violoncelle, contrebasse), musique ancienne (flûte à bec, clavecin, viole de gambe, luth, etc.), Jazz / roc / variété (batterie, piano, guitare, basse, contrebasse, saxophone, flûte traversière, chant, etc.), musiques du monde (chant-variété, guitare d'accompagnement, flûte traversière, guitare flamenca, accordéon diatonique, percussions, etc.)",,,,,,
Art lyrique,Voix & scène,Chorale,"L'Art lyrique est la terminologie sous laquelle sont regroupés les différents genres de musique vocale qualifiant, selon les époques et les lieux, les œuvres d'opéra. Il tire son appellation de la lyre, l'un des attributs d'Apollon musagète et de la Muse Érato, patronne de la poésie lyrique.

L'art lyrique est donc la discipline exercée par le chanteur d'opéra. La notion d'artiste lyrique désigne l'exécutant à la fois comme chanteur, comédien et parfois danseur. Par extension, on parle en général d'art lyrique à propos d'une prestation scénique contenant du chant aux voix travaillées et une mise en scène.",,,,,,
Solfège,Solfège,,,,,,,,
Solfège chanteur,Technique vocale / musicale,Solfège,,,,,,,
Analyse musicale,Culture artistique,Technique musicale / instrumentale,"En parcourant l'histoire de la musique, le cours comprend une initiation à l'analyse harmonique et l'étude des différentes formes et structures du langage musical.",,,,,,
Ecriture musicale,Culture artistique,Technique musicale / instrumentale,"Ce cours s'adresse à tous ceux qui ont envie de composer de la musique, mais aussi à ceux qui souhaitent en comprendre le fonctionnement dans le détail.",,,,,,
Harmonie jazz,Technique musicale / instrumentale,Technique vocale / musicale,"Ce cours s’adresse tout particulièrement aux instrumentistes et chanteurs désirant aborder et approfondir les codes harmoniques, mélodiques, rythmiques et culturels du répertoire jazz et des musiques actuelles.",,,,,,
Musique de chambre,Instruments,Ensembles instrumentaux,"Les groupes sont constitués selon les instruments et les niveaux de chacun. Ce cours réunit des élèves, pratiquant des instruments différents et ayant acquis une petite autonomie technique, qui désirent faire de la musique sous la direction d'un professeur spécialisé.",,,,,,
Saxophone : ensemble (instrumental ou vocal),Instruments,Ensembles instrumentaux,"Après 2 ou 3 années de travail en soliste, les élèves d'un même cours d'instrument peuvent avec leur professeur habituel et sous son impulsion former duos, trios ou quatuors et chaque semaine se retrouver pour jouer régulièrement ensemble.",,,,,,
Violoncelle : ensemble (instrumental ou vocal),Instruments,Ensembles instrumentaux,"Après 2 ou 3 années de travail en soliste, les élèves d'un même cours d'instrument peuvent avec leur professeur habituel et sous son impulsion former duos, trios ou quatuors et chaque semaine se retrouver pour jouer régulièrement ensemble.",,,,,,
Jazz instrument,Instruments,Ensembles instrumentaux,"Les aspects les plus complets du jazz – harmonie (grilles, gammes, accords...), improvisation, histoire du jazz (et ses grands noms) – seront abordés en s'appuyant sur une pratique intensive et collective de votre instrument.",,,,,,
Percussions,Instruments du monde,,"Musiques du monde : Afrique, Amérique du Sud…",,,,,,
Gymnastique Chinoise,Relaxation / Gym douce,,,,,,,,
Gymnastique entretien,Relaxation / Gym douce,,,,,,,,
Gymnastique,Gym,Relaxation / Gym douce,,,,,,,
